dong,landvalue,yuheung,sukbak,school,specialsch,hospital,store,gu,landsize
당산동6가,2870359.431,47.82340729,17.93377773,0,0,0,0,영등포구,167282.1
당인동,3119646.388,0,0,0,0,0,0,마포구,321574
당주동,13738120.22,324.1783815,69.46679603,0,0,0,0,종로구,43186.1
대림동,2253955.456,14.02217396,8.513462764,3.505543491,0,1,0,영등포구,1996837.3
대방동,2782305.692,5.881656753,1.960552251,3.921104502,1,0,0,동작구,1530181.1
대신동,3033339.394,0,0,3.738618244,0,0,0,서대문구,267478.5
대조동,2957578.027,54.19700423,38.88045955,4.712782976,0,0,0,은평구,848755.4
대치동,8157752.372,7.912698251,2.373809475,2.901322692,0,1,1,강남구,3791374.2
대현동,9521403.62,8.561073952,27.82349035,2.140268488,0,0,0,서대문구,467231.1
대흥동,4283487.562,4.860297236,3.240198158,1.620099079,0,0,0,마포구,617246.2
도곡동,6081921.275,3.9252056,0.4906507,4.4158563,0,1,0,강남구,2038109.8
도렴동,11947971.83,34.3080243,0,0,0,0,0,종로구,29147.7
도림동,2017477.463,6.794119825,1.698529956,0,0,0,1,영등포구,588744.4
도봉동,1491098.82,0.942155781,1.256207707,0.732787829,1,0,0,도봉구,9552560.4
도선동,4415797.213,197.0347007,233.5226083,0,0,0,0,성동구,137031.7
도원동,4478996.491,0,0,0,0,0,0,용산구,88486.1
도화동,4654203.006,58.08646444,10.25055255,1.708425425,0,0,0,마포구,585334.3
독산동,2189983.572,12.12219025,6.893010143,3.565350074,0,0,1,금천구,4207160.5
돈암동,1793762.624,0,0,5.299814948,0,0,0,성북구,1132115
돈의동,5597125.749,430.295244,276.6183711,0,0,0,0,종로구,32535.8
동교동,5666025.018,40.99666263,7.23470517,0,0,0,0,마포구,414667.9
동빙고동,4561974.286,4.941064221,2.470532111,0,0,0,0,용산구,404771.1
동선동1가,6279449.275,158.6015733,85.40084718,0,0,0,0,성북구,81966.4
동선동2가,3361495.361,0,20.19475825,0,0,0,0,성북구,99035.6
동선동3가,3082048.023,0,10.20814406,0,0,0,0,성북구,97961
동선동4가,3615619.283,11.52784262,69.16705573,0,0,0,0,성북구,86746.5
동선동5가,2971864.375,0,0,0,0,0,0,성북구,66418.7
동소문동1가,3715920.419,0,0,0,0,0,0,성북구,64559.6
동소문동2가,3981538.994,50.69759896,25.34879948,0,0,0,0,성북구,39449.6
동소문동3가,5391212.766,35.64503251,71.29006502,0,0,0,0,성북구,28054.4
동소문동4가,3482553.64,0,0,10.5905054,0,0,0,성북구,94424.2
동소문동5가,5143964.706,69.81322635,69.81322635,0,0,0,0,성북구,42971.8
동소문동6가,3609219.544,10.01413997,0,0,0,0,0,성북구,99858.8
동소문동7가,2924187.44,0,0,14.29518995,0,0,0,성북구,69953.6
동숭동,3521130.721,0,0,0,0,0,0,종로구,365307.9
동자동,5812678.063,13.83829742,72.65106145,0,0,0,0,용산구,289052.9
동작동,1162321.684,0,0,0.469823319,0,0,0,동작구,2128459.7
