,dong,landvalue,yuheung,sukbak,school,specialsch,hospital,store
128,명동1가,32834192.71,3,8,0,0,0,0
129,명동2가,41874567.47,2,8,0,0,0,0
130,명륜1가,2805051.398,0,0,1,0,0,0
131,명륜2가,6200098.988,0,2,0,0,0,0
132,명륜3가,2019776.097,0,1,0,0,0,0
133,명륜4가,5920276.768,0,4,0,0,0,0
134,명일동,3839840.115,14,3,4,0,0,1
135,목동,2980246.154,20,5,18,0,1,4
136,묘동,9758823.148,6,1,0,0,0,0
137,무교동,18412608.7,3,0,0,0,0,0
138,무악동,2633685.667,0,0,1,0,1,0
139,무학동,5918905.495,7,4,0,0,0,0
140,묵동,2240994.447,28,6,7,0,0,1
141,묵정동,4570480.37,0,0,0,0,1,0
142,문래동1가,2748143.243,1,0,0,0,0,0
143,문래동2가,3208541.026,3,3,0,0,0,0
144,문래동3가,3381319.788,1,0,2,0,0,1
145,문래동4가,3126659.463,4,1,0,0,0,0
146,문래동5가,2061308.571,0,0,0,0,0,0
147,문래동6가,2904048.78,0,0,2,0,0,0
148,문배동,4196050.505,0,0,0,0,0,0
149,문정동,4224696.489,2,1,5,0,0,1
150,미근동,3923760.811,0,2,1,0,0,0
151,미아동,2168167.945,57,73,19,1,0,5
152,반포동,6180195.193,7,6,13,0,1,1
153,방배동,4997137.733,28,16,12,0,0,0
154,방산동,11379287.05,2,0,0,0,0,0
155,방이동,4841451.755,87,61,13,0,0,0
156,방학동,1904522.845,19,4,9,0,0,1
157,방화동,1976465.009,9,10,9,0,0,0
158,번동,1782308.837,28,28,5,0,0,0
159,보광동,4464519.586,4,4,0,0,0,0
160,보문동1가,3266273.5,1,1,0,0,0,0
161,보문동2가,3802775.625,1,0,0,0,0,0
162,보문동3가,2131364.844,0,0,1,0,0,0
163,보문동4가,3830290.323,7,3,0,0,0,0
164,보문동5가,3252688.851,0,1,0,0,0,0
165,보문동6가,2536271.632,0,0,0,0,0,0
166,보문동7가,3418792,3,1,1,0,0,0
167,본동,2183268.622,1,1,2,0,0,0
168,봉래동1가,6987974.194,0,0,0,0,0,0
169,봉래동2가,6652430.556,0,0,0,0,0,1
170,봉원동,1433603.584,0,0,0,0,0,0
171,봉익동,6341588.028,0,1,0,0,0,0
172,봉천동,2709629.64,69,39,25,1,1,1
173,부암동,1100112.929,0,0,0,0,0,0
174,북가좌동,2337248.844,8,4,3,0,0,0
175,북아현동,3424386.824,3,3,5,0,0,0
176,북창동,9926102.31,36,13,0,0,0,0
177,불광동,2383734.432,32,16,9,0,0,0
178,사간동,6161142.012,0,0,0,0,0,0
179,사근동,1934843.187,0,0,1,0,1,0
180,사당동,2940570.192,40,13,8,0,0,1
181,사직동,2648068.512,0,1,0,1,0,0
182,산림동,9141464.471,0,4,0,0,0,0
183,산천동,2948315.556,0,0,1,0,0,0
184,삼각동,19179691.49,0,0,0,0,0,0
185,삼선동1가,2305826.102,2,0,0,0,0,0
186,삼선동2가,2867772.066,0,0,0,0,0,0
187,삼선동3가,2750603.537,0,0,2,0,0,0
188,삼선동4가,3501750.519,1,2,0,0,0,0
189,삼선동5가,3452804.272,3,1,0,0,0,0
190,삼성동,8685980.094,64,27,4,1,0,1
191,삼전동,4670703.039,11,8,3,0,0,0
192,삼청동,4262623.746,0,0,0,0,0,0
193,상계동,2105005.1,68,28,32,0,1,1
194,상도1동,3132769.913,1,1,0,0,0,0
195,상도동,2496502.435,18,11,7,1,0,0
196,상봉동,2578752.766,35,46,4,0,0,2
197,상수동,4429030.506,0,1,1,0,0,0
198,상암동,2101134.268,0,1,5,0,0,0
199,상왕십리동,3835769.406,0,0,0,0,0,0
200,상월곡동,2147940.848,0,0,1,0,0,0
201,상일동,2234881.391,1,0,7,1,1,0
202,서계동,3615423.184,2,3,0,0,0,0
203,서교동,5817116.662,38,9,1,0,0,1
204,서린동,21721395.06,1,0,0,0,0,0
205,서빙고동,2935494.444,0,0,2,0,0,0
206,서소문동,12223637.5,8,0,0,0,0,0
207,서초동,8527174.061,109,41,11,0,0,1
208,석관동,2135232.274,2,11,4,0,0,0
209,석촌동,5128782.737,31,5,1,0,0,0
210,성내동,3665873.043,22,4,3,0,0,0
211,성북동,2184992.528,0,0,4,1,0,0
212,성북동1가,3033629.023,0,0,0,0,0,0
213,성산동,2746667.418,1,5,8,0,0,1
214,성수동1가,3461675.265,3,8,6,0,0,0
215,성수동2가,3662760.616,15,18,3,0,0,1
216,세곡동,1255686.608,0,0,2,0,0,0
217,세종로,17712141.24,0,0,0,0,0,0
218,소격동,4817806.452,0,0,0,0,0,0
219,소공동,16215100,1,3,0,0,0,1
220,송월동,5489637.273,0,0,0,0,0,0
221,송정동,2483638.692,2,6,1,0,0,0
222,송파동,4945839.577,19,0,6,0,0,0
223,송현동,4824113.636,0,0,1,0,0,0
224,수색동,2238653.507,6,8,1,0,0,1
225,수서동,1628335.733,1,0,6,0,0,0
226,수송동,7800631.868,2,3,0,0,0,0
227,수유동,1764056.177,115,73,9,2,1,0
228,수표동,14581195.4,4,2,0,0,0,0
229,수하동,16584279.07,0,0,0,0,0,0
230,순화동,4774315.353,0,2,0,0,0,0
231,숭인동,3255713.568,27,35,0,0,0,0
232,시흥동,2084738.593,50,25,18,0,1,1
233,신계동,5182226.7,2,0,0,0,0,0
234,신공덕동,3494568.638,2,1,0,0,0,2
235,신교동,2491189.459,0,0,0,2,0,0
236,신길동,2646369.913,29,56,11,0,1,3
237,신내동,1270332.448,0,1,6,0,1,1
238,신당동,3111864.265,23,30,13,0,0,0
239,신대방동,2632155.569,9,8,4,0,1,0
240,신도림동,2369875.227,4,2,4,0,0,2
241,신림동,2640424.414,222,119,28,1,1,0
242,신문로1가,15577083.83,2,0,0,0,0,0
243,신문로2가,5600000.187,1,0,0,0,0,0
244,신사동(강남),10146208.63,48,9,2,0,0,0
245,신사동(은평),2111624.665,2,1,7,0,0,0
246,신설동,3532389.542,12,13,2,0,0,0
247,신수동,3455168.815,1,1,4,0,0,0
248,신영동,1591263.895,0,0,1,0,0,0
249,신원동,1174149.243,0,0,0,0,0,0
250,신월동,2166521.713,16,11,19,0,0,0
251,신정동(마포),2239893.617,0,0,0,0,0,0
252,신정동(양천),2853910.241,43,10,24,0,0,0
253,신창동,2933904.595,0,0,0,0,0,0
254,신천동,6154069.93,0,1,5,0,0,3
255,신촌동,1680276.862,0,0,0,1,1,0
256,쌍림동,4529795.96,0,2,0,0,0,0
257,쌍문동,1706327.955,7,10,15,0,1,0
258,아현동,4260971.892,3,3,3,0,0,0
259,안국동,5274486.989,0,0,1,0,0,0
260,안암동1가,2781197.585,0,0,0,0,0,0
261,안암동2가,2843083.406,0,0,3,0,0,0
262,안암동3가,2406929.461,0,0,0,0,0,0
263,안암동4가,3121991.971,1,1,0,0,0,0
264,안암동5가,2955800.973,2,1,0,0,1,0
265,암사동,2445376.741,9,7,5,0,0,0
266,압구정동,8642213.068,0,0,6,0,0,2
267,양재동,5015145.24,18,2,4,0,0,2
268,양평동,311000,0,0,0,0,0,0
269,양평동1가,3352465.202,10,9,0,0,0,0
270,양평동2가,2865527.222,2,1,1,0,0,0
271,양평동3가,2614041.739,0,2,3,0,0,2
272,양평동4가,3377116.339,14,10,3,0,0,0
273,양평동5가,3056239.85,0,0,0,0,0,0
274,양평동6가,2565250,0,0,0,0,0,0
275,양화동,468954.5455,0,0,0,0,0,0
276,여의도동,6126708.015,103,11,6,0,1,2
277,역삼동,9014817.323,199,77,5,0,1,2
278,역촌동,2457316.104,8,3,1,0,0,0
279,연건동,3591469.745,0,0,0,0,1,0
280,연남동,3279255.038,4,0,0,0,0,0
281,연지동,4087532.905,7,2,0,0,0,0
282,연희동,2138110.121,6,2,4,0,0,0
283,염곡동,1296097.502,0,0,0,0,0,0
284,염리동,3794211.46,0,4,6,0,0,0
285,염창동,2938207.487,8,9,5,0,0,0
286,영등포동,2300125.764,4,3,2,0,0,1
287,영등포동1가,3219994.819,3,8,0,0,0,0
288,영등포동2가,4394264.664,10,10,0,0,0,0
289,영등포동3가,9773409.807,108,58,0,0,0,0
290,영등포동4가,6738692.308,7,4,0,0,1,1
291,영등포동5가,5864342.998,13,12,0,0,0,0
292,영등포동6가,4312939.667,2,10,0,0,0,0
293,영등포동7가,4070183.894,9,4,1,0,1,0
294,영등포동8가,3175242.765,1,0,0,0,0,1
295,영천동,3291439.674,4,0,0,0,0,0
296,예관동,8311318.885,0,1,0,0,0,0
297,예장동,2405495.349,0,2,3,0,0,0
298,예지동,14082502.23,2,0,0,0,0,0
299,오곡동,156897.9494,0,0,0,0,0,0
300,오금동,4138314.213,7,0,9,0,0,0
301,오류동,1931516.222,33,23,5,0,0,0
302,오쇠동,186971.7391,0,0,0,0,0,0
303,오장동,6021893.281,7,7,0,0,0,0
304,옥수동,3133134.394,0,1,2,0,0,0
305,옥인동,3167692.308,0,0,0,0,0,0
306,옥천동,2825137.643,0,1,0,0,0,0
307,온수동,1578679.877,0,0,1,0,0,0
308,와룡동,3761470.849,5,2,0,0,0,0
309,외발산동,996389.6785,0,4,0,0,0,0
310,용강동,4714450.98,6,0,0,0,0,0
311,용답동,2906644.975,3,9,1,0,0,0
312,용두동,3191705.933,17,24,1,0,1,1
313,용문동,4083572.46,1,0,0,0,0,0
314,용산동1가,2407475,0,0,0,0,0,0
315,용산동2가,2878313.018,0,1,5,0,0,0
316,용산동3가,5941146.667,0,2,0,0,0,0
317,용산동4가,2448145.455,0,0,0,0,0,0
318,용산동5가,5665070.175,0,0,0,0,0,0
319,용산동6가,2196731.481,0,0,0,0,0,0
320,우면동,1587856.108,0,0,4,0,0,0
321,우이동,1175599.334,2,11,1,0,0,0
322,운니동,4941112.36,3,4,1,0,0,0
323,원남동,3307417.367,4,2,0,0,0,0
324,원서동,3211069.775,0,0,0,0,0,0
325,원지동,639014.4105,0,0,0,0,0,0
326,원효로1가,3942925.55,0,0,0,0,0,0
327,원효로2가,4747277.202,14,5,1,0,0,0
328,원효로3가,4181274.39,4,2,0,0,0,0
329,원효로4가,3541046.366,0,0,2,0,0,0
330,월계동,1499246.617,0,4,13,0,0,0
331,율현동,1178553.367,0,0,0,0,0,0
332,을지로1가,19351068.18,8,1,0,0,0,0
333,을지로2가,16171274.02,4,3,0,0,0,0
334,을지로3가,12328589.37,14,7,0,0,0,0
335,을지로4가,12176370.9,4,2,0,0,0,0
336,을지로5가,7868231.003,6,6,0,0,0,0
337,을지로6가,10977443.56,2,9,0,0,1,0
338,을지로7가,5385052.381,0,4,0,0,0,0
339,응봉동,1749979.416,0,0,0,0,0,0
340,응암동,2372084.835,69,20,5,0,0,1
341,의주로1가,6323753.846,0,0,0,0,0,0
342,의주로2가,3217400,0,0,0,0,0,0
343,이문동,2438205.585,7,14,1,0,0,1
344,이촌동,7519414.448,3,1,3,0,0,0
345,이태원동,5077319.151,27,13,2,0,0,0
346,이화동,2408211.043,0,0,0,0,0,0
347,익선동,4518320.261,6,10,0,0,0,0
348,인사동,14236479.59,8,5,0,0,0,0
349,인의동,6451634.199,5,0,0,0,0,0
350,인현동1가,8020051.282,4,1,0,0,0,0
351,인현동2가,7881053.731,2,2,1,0,0,0
352,일원동,3497080.014,0,0,8,1,1,0
353,입정동,9851072.139,0,2,0,0,0,0
354,자곡동,1301790.184,0,0,4,0,0,0
355,자양동,3305310.717,21,16,10,0,1,2
356,잠실동,6201771.734,26,27,13,0,0,2
357,잠원동,6593326.716,22,7,4,0,0,1
358,장교동,13258333.33,0,1,0,0,0,0
359,장사동,13795597.44,6,1,0,0,0,0
360,장안동,2809072.558,91,40,4,0,0,1
361,장위동,2240181.33,12,14,7,0,0,0
362,장지동,984134.6397,0,0,4,1,0,0
363,장충동1가,3680399.836,0,3,0,0,0,0
364,장충동2가,2879191.446,3,10,1,0,0,0
365,재동,5917616.505,2,0,0,0,0,0
366,저동1가,11243297.3,1,0,0,0,0,0
367,저동2가,10621800.77,4,2,0,0,1,0
368,적선동,8765436.508,0,0,0,0,0,0
369,전농동,2725744.741,17,26,9,0,1,2
