"","gu","hospital","school","store","sukbak","yuheung","specialsch","landvalue","landstdvalue"
"1","강남구",4,78,7,156,523,2,5671760.05235714,6260578.90364286
"2","강동구",3,47,5,118,240,2,2692375.60685556,3396037.6021
"3","강북구",1,34,5,185,202,3,1722533.07325,2113959.41825
"4","강서구",3,67,4,175,297,1,1594530.34926923,2131564.47251538
"5","관악구",2,54,2,168,315,2,2837872.863,3458820.641
"6","광진구",2,37,3,105,104,1,3038737.27057143,3668701.77157143
"7","구로구",2,48,6,138,131,2,1863849.12604,2300052.5007
"8","금천구",1,33,3,88,130,0,2121545.377,2502778.26933333
"9","노원구",3,88,4,39,77,2,1694550.1012,2212679.351
"10","도봉구",1,46,2,34,77,1,1811514.4565,2201136.444
"11","동대문구",5,39,5,204,190,0,2810004.742,3510711.0924
"12","동작구",2,33,1,57,98,2,2738178.73933333,3385742.16944444
"13","마포구",0,39,4,92,148,1,3612563.44807692,4157334.21057692
"14","서대문구",2,36,1,104,95,1,3236664.2486,3892001.05265
"15","서초구",1,49,5,72,184,1,3681629.34884,4085410.1316
"16","성동구",1,27,3,101,69,0,3118999.20882353,3626988.90088235
"17","성북구",1,47,5,105,77,1,3123915.22471795,3365571.29925641
"18","송파구",2,78,6,112,279,2,4261474.45705385,6388575.01969231
"19","양천구",2,61,4,26,79,0,2666892.70266667,3104083.811
"20","영등포구",7,41,12,253,424,0,3382096.98875,3920904.3150303
"21","용산구",1,29,2,106,137,0,4678248.31019444,5350064.31652941
"22","은평구",1,52,2,95,213,1,2192283.40653636,2579787.89486364
"23","종로구",4,33,0,224,352,4,6896178.81565517,8325723.36016279
"24","중구",3,26,5,325,337,0,10247640.0542027,12357566.8314795
"25","중랑구",3,47,6,123,130,0,2057077.40066667,2502007.41266667
